Dune,Frank Herbert,Science Fiction,5
The Hobbit,J.R.R. Tolkien,Fantasy,3
The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,8
Pride and Prejudice,Jane Austen,Romance,10
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,7
It,Stephen King,Horror,6
The Book Thief,Markus Zusak,Historical,9
Sapiens,Yuval Noah Harari,Non-fiction,12
Steve Jobs,Walter Isaacson,Biography,4
Atomic Habits,James Clear,Self-help,15
Neuromancer,William Gibson,Science Fiction,6
The Name of the Wind,Patrick Rothfuss,Fantasy,5
Gone Girl,Gillian Flynn,Thriller,4
Dracula,Bram Stoker,Horror,9
1984,George Orwell,Science Fiction,7
The Shining,Stephen King,Horror,8
The Catcher in the Rye,J.D. Salinger,Historical,10
Becoming,Michelle Obama,Biography,3
Educated,Tara Westover,Biography,6
The Power of Habit,Charles Duhigg,Self-help,13
Brave New World,Aldous Huxley,Science Fiction,8
The Way of Kings,Brandon Sanderson,Fantasy,7
The Da Vinci Code,Dan Brown,Thriller,10
Frankenstein,Mary Shelley,Horror,4
The Nightingale,Kristin Hannah,Historical,5
The Wright Brothers,David McCullough,Biography,8
The Lean Startup,Eric Ries,Self-help,11
Hyperion,Dan Simmons,Science Fiction,4
Mistborn,Brandon Sanderson,Fantasy,5
Big Little Lies,Liane Moriarty,Mystery,6
Rebecca,Daphne du Maurier,Mystery,7
Sense and Sensibility,Jane Austen,Romance,9
The Hunger Games,Suzanne Collins,Fantasy,10
Sharp Objects,Gillian Flynn,Mystery,8
Me Before You,Jojo Moyes,Romance,12
The Silent Patient,Alex Michaelides,Thriller,5
Carrie,Stephen King,Horror,9
All the Light We Cannot See,Anthony Doerr,Historical,7
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-fiction,6
Steve Jobs: The Exclusive Biography,Walter Isaacson,Biography,4
Thinking Fast and Slow,Daniel Kahneman,Self-help,11
Altered Carbon,Richard K. Morgan,Science Fiction,6
The Lies of Locke Lamora,Scott Lynch,Fantasy,8
The Big Sleep,Raymond Chandler,Mystery,5
Outlander,Diana Gabaldon,Romance,6
The Bourne Identity,Robert Ludlum,Thriller,7
Pet Sematary,Stephen King,Horror,9
The Pillars of the Earth,Ken Follett,Historical,8
Unbroken,Laura Hillenbrand,Non-fiction,10
